festival;artist;name;year;description
Lowlands;Prodigy;Kathie;2009;In de Alpha, een van de meest legendarische lowlands optredens ooit.
Lowlands;Prodigy;Kirstin;2009;Het was vrij makkelijk gelukt om in het voorste vak te komen, maar had er niet over nagedacht dat ik teenslippers aan had. Teruglopen naar de tent is geen optie, want dan mis je het. Was super vet, topconcert, ik stond naast een hele gezellige man die twee meter was, 120 kilo woog en legerkisten aan had. Hij heeft een keer of 3/4 per ongelijk mijn kleine teen geraakt, niks van gemerkt tot de volgende dag. Mijn schattige kleine teen was groen en paars, geel en zwart, en ik paste geen enkele schoen meer, hij bleek gebroken. Concert had ik niet willen missen.
Lowlands;Prodigy;Megan;2009;De hele Alpha stond op zijn kop
Lowlands;de Staat;Dick Pomper;2016;Nummer ‚ÄúWitch docter‚Äù was me via via eens op Youtube opgevallen en bracht me in contact met de muziek van De Staat. Het nummer de Witch Docter kenmerkt zich door de ‚Äú draaiende‚Äù moshpit, in de Alpha op Lowlands een zeer bijzondere ervaring om bij geweest te zijn! Nog steeds fan van De Staat 
Lowlands;de Staat;Margot;2016;Die circle pit is echt briljant. Ik trok mijn zus mee bij 'Witch Docter', haar zonnerbil overleefde het helaas niet. 
Lowlands;Foo Fighters;Astrid;2012;Mijn favoriete band. Ik stond vooraan en kon het zweet van Dave Grohl proeven. Het was heerlijk, de hele Alpha tent zong mee met 'best of you', echt een kippenvel moment!
Lowlands;Foo Fighters;Lars;2011;Dave Grohl legde het optreden tijden de regen in een keer stil om te zeggen dat er een 'fucking rainbow' is. Vervolgens stond het hele veld naar een regenboog te kijken.
Lowlands;Limp Bizkit;Koen;2015;Met de hele tent los gaan op oude nummers!
Lowlands;Limp Bizkit;Margot;2015;Vanaf de allereerste seconde was het 45 graden in de Alpha. Mijn zus en ik stonden in het midden en kwamen druipend de tent uit.
Lowlands;Mumford and Son;Thijs;2017;Ik lag katerig op de dijk naast de Alpha tent, heerlijk in de zon met een biertje. Het mooiste concert, niks van gezien, alleen maar geluisterd. Iedereen die op Lowlands heeft gezien kent dat gevoel.
Lowlands;Mumford and Son;Tim;2016;Springend in de Alpha tot de tent instort!
Lowlands;Stromae;Astrid;2014;Ik stond vooraan en ik heb meerdere mensen afgevoerd zien worden omdat het zo druk was. Maar zoals hij een show kan geven, kan er geen ander. 
Lowlands;Stromae;Dana;2014;Op de berg van Alpha. Was met een hele groep vrienden naar Lowlands. We waren net iets te laat om helemaal naar voren te gaan, dus we stonden op de berg, maar daar was het al geweldig om die show te zien, toen was ik verkocht. Mijn broer had met getipt.
Lowlands;Alt J;Kevin;2017;Was de soundtrack bij het zetten van mijn tepelpiercing. Wat een pijn had ik, aan de overkant, in de Bravo tent stond Alt-J te spelen. Zal het nooit meer vergeten.
Lowlands;Balkan Beats in de Lima;Cyril Snijders;2012;Na jaren (minimaal 10) van proberen, hopen, organiseren, mislukken om een scala van redenen waaronder meestal het probleem om al die mensen die je kent tegelijkertijd op 1 plek samen te krijgen, lukte het deze editie (OMG YEAH): de dubbel hoge polonaise. Meer dan vijftien vrienden die mensen op hun nek namen om samen op polkamuziek de dubbelhoge polonaise te dansen. Nooit gedacht dat het ooit nog zou lukken. It doesn’t get better than this! Succes met visualiseren!
Lowlands;Beastie Boys;Casper;1998;Grootste climax ooit meegemaakt op een festival, De Beastie Boys die Sabotage spelen als toegift in de Alpha!
Lowlands;Chrystal Fighters;Hilje;2013;Kende alleen la Plage en vond dat een matig nummer, maar dat optreden met die charismatische frontman was echt briljant!
Lowlands;dreadzone;flow;1997;
Lowlands;Eddie the Eagle;anoniem;2016;Met ons ritmisch gymnastiekteam gewonnen van een rugbyteam
Lowlands;Elbow;Wendy;2017;Met die festivalvermoeidheid in je lijf naar Elbow, heerlijk.
Lowlands;Empire of the Sun;Anoniem;2013;Smashing up guitars, YEAHHHH!
Lowlands;James Blake;Robert;2016;Op zondag, gaar van een paar dagen feesten op Lowlands, half brak, beetje zelfmedelijden, die muziek raakt je zo enorm, zo overweldigend, toen schoot er toch even een traantje in mijn ooghoek.
Lowlands;Kendrick Lamar;Rens;2015;Ik wilde Tame Impala zien, maar al mijn vrienden wilden Kendric Lamar zien. We werden helemaal meegesleurd in de menigte.
Lowlands;Major Lazer;Lynn;2015;Ik was op het terrein, er stond een gokautomaat en daar kon je douchemuntjes winnen. Ik had zo'n muntje gewonnen en bedacht me toen om nog even te douchen voordat ik naar Wolfmother zou gaan, want wilde daar vooraan staan. Ik stond uiteindelijk gedoucht fris en fruitig in het voorvak, tussen allemaal bezwete mannen zonder t-shirt, lichaamshaar en zweet alom. Ik kan het nog ruiken, nostalgie!
Lowlands;MGMT;Laura;2008;Het was afgeladen vol. Halverwege ging de houten vloer op en neer en dat veerde tot helemaal achterin de tent.
Lowlands;Muse;Fieke ;2016;
Lowlands;Nothing but Thieves;Hanneke;2017;Ik was direct verkocht, misschien ook wel omdat het mijn eerste lowlands was, maar toch.
Lowlands;nvt;Iris;2013;Eigenlijk heb ik niet 1 specifiek moment gelinkt aan 1 artiest, maar is voor mij de ultieme festival ervaring om voorin de tent te staan, tijdens een show waar het dak van af gaat, en de artiesten en crowd helemaal los gaat.
Lowlands;Opgezwolle;Max;2006;Ze speelden 's middags in de Bravo en het ging helemaal los op hoedenplank. 
Lowlands;Paulo Nutini;Kyra;2015;Paulo Nutini en Ben Howard achter elkaar, zittend op de heuvel van de Alpha, echt mooie herinneringen heb ik daaraan. Jammer dat dit jaar Lowlands er niet in zit!
Lowlands;Pierce Brothers;Zonnetje 1999;2014;Weinig verwachtingen, fantastisch optreden!
Lowlands;Portishead;Stephan Okhuijsen;1998;Het optreden van Portishead op de zondagavond bleek voorlopig het laatste optreden te zijn van de band omdat de zangeres met zwangerschapsverlof ging. Ik was al bijna op weg naar de uitgang toen ik dat hoorde. Heb het optreden met tranen in mijn ogen helemaal tot het eind beleefd. Waanzinnig goed en gevoelig.
Lowlands;Queens of the Stone Age;Astrid;2014;Ze waren de afsluiter op zaterdag en we wilden vooraan staan. Ik en een vriendin hadden ons helemaal naar voren gewurmd en het was echt helemaal volgeladen. Ouwe rockers, en jonge mensen zoals wij door elkaar heen. Er stond een paar kerels die hadden medelijden met ons en namen ons een beetje in bescherming want het was 1 grote moshpit, een en al rammen en springen. Dat moet je gewoon een keer meegemaakt hebben. Ik kwam er dankzij die mannen zielsgelukkig en zonder blauwe plekken uit.
Lowlands;Snow Patrol;Marit;2010;Mijn eerste festival, hierdoor ben ik ook een echte concertganger geworden. Snowpatrol had ik nog nooit bewust gehoord, maar tijdens het optreden bleek ik heel veel nummers te kennen. Ben een echte fan geworden.
Lowlands;Tame Impala;Jorrit;2015;Beste festival optreden ooit. 
Lowlands;Tash Sultana;Alicia;2017;Beste optreden van Lowlands 2017
Lowlands;The Cat Empire;Fieke;2014;
Lowlands;Tom Odell;Cecilia;2016;Ik en een vriendin hadden de hele dag het album geluisterd en toen we hem live zagen, wat geweldig.
Lowlands;Typhoon;Tom;2014;"Was lekker  weer, tent was helemaal vol gelopen, aan het begin ""Liefste"" was iedereen helemaal stil, aan het einde stond iedereen mee te schreeuwen."
Lowlands;Vance Joy;Caroline;2014;Was alleen op Lowland met een groepje mannen, die hadden hier geen interesse in, dus stond ik daar alleen. Heb heerlijk staan dansen, op Lowlands ben je nooit echt alleen.
Pinkpop;Foo Fighters;Sanne;2011;"Ik had ze eerst in de 3 on stage container gezien met 50 man wat al vet gaaf was. Daarna op het grote veld en de zon ging opeens schijnen. Dave growl stop met spelen en zegt ""There's a fucking rainbow right there!"""
Pinkpop;Foo Fighters;Charlotte;2011;We werden opgehaald en moesten tijdens de Foo Fighters weg. De eerste twee nummers gezien, maar toen moesten we echt weg. Tijdens het inpakken van de tent heb ik staan springen op 'Rope'.
Pinkpop;Greenday;Sharon;2017;Ze kwamen op eerste pinksterdag, het was mijn eerste festival, ik had het gekregen voor mijn 16e verjaardag, dus vond het erg spannend, maar was vetgaaf!
Pinkpop;Greenday;Nicky;2013;Het was vrij makkelijk gelukt om in het voorste vak te komen, maar had er niet over nagedacht dat ik teenslippers aan had. Teruglopen naar de tent is geen optie, want dan mis je het. Was super vet, topconcert, ik stond naast een hele gezellige man die twee meter was, 120 kilo woog en legerkisten aan had. Hij heeft een keer of 3/4 per ongelijk mijn kleine teen geraakt, niks van gemerkt tot de volgende dag. Mijn schattige kleine teen was groen en paars, geel en zwart, en ik paste geen enkele schoen meer, hij bleek gebroken. Concert had ik niet willen missen.
Pinkpop;Imagine Dragons;Stan;2017;Beste act door de passie die ze erin stoppen.
Pinkpop;Imagine Dragons;Bas;2017;kippenvel
Pinkpop;Kyteman;Tessa;2009;Nog nooit een zaal zo in vervoering zien raken. Iedereen ging op in de muziek. Magisch moment. 
Pinkpop;Kyteman;Ysanne;2009;Weet niet het jaar meer exact, maar het was op een bloedheet Pinkpop samen met vriendinnen Tessa en Hilje. Kyteman speelde in een kleine tent en het optreden was magisch. Een groot deel improvisatie, veel artiesten en een deinende mensenmassa die volledig meeging in de vibe van het concert. 
Pinkpop;Paul McCartney;Jana;2016;Pinkpop was afgelopen en we liepen met zijn allen naar camping B. En iedereen zong aan het einde van het optreden mee tot aan de camping,  de rest van de week ging het niet meer uit je hoofd.
Pinkpop;Paul McCartney;Bas;2016;Ik voel me heel erg vereerd dat ik deze grote meneer live heb mogen aanschouwen. Voor en na afloop van de show werd dit liedje continu geneuried door 80000 festival fans.
