festival;artiest;naam;jaar;ervaring;x;y;aantalStemmen;;;;
Lowlands;Prodigy;Kathie;2009;In de Alpha, een van de meest legendarische lowlands optredens ooit.;403.47;90.8;5;;;;
Lowlands;Prodigy;Kirstin;2009;Het was vrij makkelijk gelukt om in het voorste vak te komen, maar had er niet over nagedacht dat ik teenslippers aan had. Teruglopen naar de tent is geen optie, want dan mis je het. Was super vet, topconcert, ik stond naast een hele gezellige man die twee meter was, 120 kilo woog en legerkisten aan had. Hij heeft een keer of 3/4 per ongelijk mijn kleine teen geraakt, niks van gemerkt tot de volgende dag. Mijn schattige kleine teen was groen en paars, geel en zwart, en ik paste geen enkele schoen meer, hij bleek gebroken. Concert had ik niet willen missen.;425.47;73.8;5;;;;
Lowlands;Prodigy;Megan;2009;De hele Alpha stond op zijn kop;428.47;97.2;5;;;;
Lowlands;de Staat;Dick Pomper;2016;Nummer ‚Witch docter‚ was me via via eens op Youtube opgevallen en bracht me in contact met de muziek van De Staat. Het nummer de Witch Docter kenmerkt zich door de ‚Äú draaiende‚Äù moshpit, in de Alpha op Lowlands een zeer bijzondere ervaring om bij geweest te zijn! Nog steeds fan van De Staat;575.47;125.8;3;;;;
Lowlands;de Staat;Margot;2016;Die circle pit is echt briljant. Ik trok mijn zus mee bij 'Witch Docter', haar zonnerbil overleefde het helaas niet.;590.47;148.8;3;;;;
Lowlands;Foo Fighters;Astrid;2012;Mijn favoriete band. Ik stond vooraan en kon het zweet van Dave Grohl proeven. Het was heerlijk, de hele Alpha tent zong mee met 'best of you', echt een kippenvel moment!;431.47;210.8;5;;;;
Pinkpop;Foo Fighters;Lars;2011;Dave Grohl legde het optreden tijden de regen in een keer stil om te zeggen dat er een 'fucking rainbow' is. Vervolgens stond het hele veld naar een regenboog te kijken.;753.47;153.8;5;;;;
Lowlands;Limp Bizkit;Koen;2015;Met de hele tent los gaan op oude nummers!;575.47;343.8;3;;;;
Lowlands;Limp Bizkit;Margot;2015;Vanaf de allereerste seconde was het 45 graden in de Alpha. Mijn zus en ik stonden in het midden en kwamen druipend de tent uit.;590.47;363.8;3;;;;
Lowlands;Mumford and Son;Thijs;2017;Ik lag katerig op de dijk naast de Alpha tent, heerlijk in de zon met een biertje. Het mooiste concert, niks van gezien, alleen maar geluisterd. Iedereen die op Lowlands heeft gezien kent dat gevoel.;530.47;235.8;4;;;;
Lowlands;Mumford and Son;Tim;2017;Springend in de Alpha tot de tent instort!;545.47;258.8;4;;;;96
